"사용일자","노선번호","노선명","표준버스정류장ID","버스정류장ARS번호","역명","승차총승객수","하차총승객수","등록일자"
"20171115","506","506번(신림동~종로1가)","119000072","20165","숭실대입구역","654","384","20171118"
"20171115","506","506번(신림동~종로1가)","119000074","20167","봉현초등학교","181","266","20171118"
"20171115","506","506번(신림동~종로1가)","120000035","21136","성현동동아아파트","271","214","20171118"
"20171115","506","506번(신림동~종로1가)","120000036","21137","봉원중학교.행운동우성아파트","330","243","20171118"
"20171115","506","506번(신림동~종로1가)","120000456","21368","봉천사거리.위버폴리스","252","287","20171118"
"20171115","506","506번(신림동~종로1가)","120000005","21104","서울대입구역5번출구","325","228","20171118"
"20171115","506","506번(신림동~종로1가)","120000006","21105","KT관악지점","79","171","20171118"
"20171115","506","506번(신림동~종로1가)","120000007","21106","봉천역.관악초등학교","253","248","20171118"
"20171115","506","506번(신림동~종로1가)","120000008","21107","KT&G관악지점","98","139","20171118"
"20171115","506","506번(신림동~종로1가)","120000159","21261","관악우체국(양지병원)","175","295","20171118"
"20171115","506","506번(신림동~종로1가)","120000009","21108","신림사거리.신림역","925","418","20171118"
"20171115","506","506번(신림동~종로1가)","120000010","21109","남부초등학교","140","212","20171118"
"20171115","506","506번(신림동~종로1가)","120000011","21110","호림박물관","82","124","20171118"
"20171115","506","506번(신림동~종로1가)","120000117","21219","신림체육센터","165","232","20171118"
"20171115","506","506번(신림동~종로1가)","120000116","21218","난곡우체국사거리","149","277","20171118"
"20171115","506","506번(신림동~종로1가)","120000115","21217","신일교회앞","89","296","20171118"
"20171115","506","506번(신림동~종로1가)","120000114","21216","세이브마트앞","167","344","20171118"
"20171115","506","506번(신림동~종로1가)","120000113","21215","남강중고등학교입구","214","347","20171118"
"20171115","506","506번(신림동~종로1가)","120000112","21214","우림시장.난곡보건분소","274","470","20171118"
"20171115","506","506번(신림동~종로1가)","120000111","21213","난우중학교입구","70","167","20171118"
"20171115","506","506번(신림동~종로1가)","120000110","21212","신림복지관앞","38","164","20171118"
"20171115","506","506번(신림동~종로1가)","120000458","21370","서울난향초등학교","109","294","20171118"
"20171115","506","506번(신림동~종로1가)","120000163","21265","난향동주민센터","112","473","20171118"
"20171115","506","506번(신림동~종로1가)","120000164","21266","관악산휴먼시아아파트1단지입구","92","158","20171118"
"20171115","506","506번(신림동~종로1가)","120000072","21174","삼성산주공아파트","52","122","20171118"
"20171115","506","506번(신림동~종로1가)","120000073","21175","산장아파트","43","19","20171118"
"20171115","506","506번(신림동~종로1가)","120000074","21176","삼성산성지","4","20","20171118"
"20171115","506","506번(신림동~종로1가)","120000075","21177","신우초등학교","43","65","20171118"
"20171115","506","506번(신림동~종로1가)","120000076","21178","미림여고.미림여자정보과학고","75","91","20171118"
"20171115","506","506번(신림동~종로1가)","120000077","21179","미림고개.고시촌입구","17","77","20171118"
"20171115","506","506번(신림동~종로1가)","120000078","21180","관악농협신림지점앞","38","130","20171118"
"20171115","506","506번(신림동~종로1가)","120000056","21157","대학동고시촌입구","14","162","20171118"
"20171115","506","506번(신림동~종로1가)","120000057","21158","서울산업정보학교.삼성교","8","95","20171118"
"20171115","506","506번(신림동~종로1가)","120000058","21159","관악산입구.관악문화관도서관","4","65","20171118"
"20171115","506","506번(신림동~종로1가)","120000028","21127","서울대학교","10","170","20171118"
"20171115","506","506번(신림동~종로1가)","120000041","21142","신림중.삼성고.관악문화관도서관","1","6","20171118"
"20171115","506","506번(신림동~종로1가)","120000042","21143","서울산업정보학교.삼성교","0","6","20171118"
"20171115","506","506번(신림동~종로1가)","998501979","~","신림2동차고지(종점가상)","0","8","20171118"
"20171115","506","506번(신림동~종로1가)","102000001","03001","한강대교북단.LG유플러스","84","286","20171118"
