"사용일자","노선번호","노선명","표준버스정류장ID","버스정류장ARS번호","역명","승차총승객수","하차총승객수","등록일자"
"20171115","162","162번(정릉~여의도)","102000051","03145","원효로2가사거리","124","170","20171118"
"20171115","162","162번(정릉~여의도)","102000049","03143","남정초등학교","157","138","20171118"
"20171115","162","162번(정릉~여의도)","102000048","03142","용산e편한세상","96","117","20171118"
"20171115","162","162번(정릉~여의도)","102000297","03346","원효로1동.주민센터","190","129","20171118"
"20171115","162","162번(정릉~여의도)","102000046","03140","용산경찰서","175","92","20171118"
"20171115","162","162번(정릉~여의도)","102000019","03111","남영역","141","299","20171118"
"20171115","162","162번(정릉~여의도)","102000009","03009","숙대입구역","277","327","20171118"
"20171115","162","162번(정릉~여의도)","102000011","03011","갈월동","138","122","20171118"
"20171115","162","162번(정릉~여의도)","101000007","02007","서울역버스환승센터","214","259","20171118"
"20171115","162","162번(정릉~여의도)","101000114","02219","남대문시장앞","265","367","20171118"
"20171115","162","162번(정릉~여의도)","101000043","02142","롯데영프라자","418","328","20171118"
"20171115","162","162번(정릉~여의도)","101000040","02139","우리은행종로지점","356","213","20171118"
"20171115","162","162번(정릉~여의도)","100000105","01201","조계사","481","245","20171118"
"20171115","162","162번(정릉~여의도)","100000104","01200","안국역.종로경찰서.인사동","541","280","20171118"
"20171115","162","162번(정릉~여의도)","100000103","01199","창덕궁","360","192","20171118"
"20171115","162","162번(정릉~여의도)","100000159","01256","원남동사거리","63","215","20171118"
"20171115","162","162번(정릉~여의도)","100000122","01218","현대그룹빌딩","216","265","20171118"
"20171115","162","162번(정릉~여의도)","100000123","01219","통신대(이화장)","176","279","20171118"
"20171115","162","162번(정릉~여의도)","100000124","01220","혜화역.마로니에공원","200","326","20171118"
"20171115","162","162번(정릉~여의도)","100000133","01229","혜화역.동성중고(장면총리가옥)","486","195","20171118"
"20171115","162","162번(정릉~여의도)","107000010","08010","삼선교.한성대학교","649","448","20171118"
"20171115","162","162번(정릉~여의도)","107000175","08270","성신여대입구","799","642","20171118"
"20171115","162","162번(정릉~여의도)","107000173","08268","돈암2동주민센터입구.흥천사","122","355","20171118"
"20171115","162","162번(정릉~여의도)","107000171","08266","아리랑고개.아리랑시네미디어센터","130","753","20171118"
"20171115","162","162번(정릉~여의도)","107000169","08264","정릉입구","91","276","20171118"
"20171115","162","162번(정릉~여의도)","107000080","08170","정릉우체국앞","112","449","20171118"
"20171115","162","162번(정릉~여의도)","107000078","08168","정릉시장입구","156","410","20171118"
"20171115","162","162번(정릉~여의도)","107000076","08166","KEB하나은행정릉중앙지점","44","207","20171118"
"20171115","162","162번(정릉~여의도)","107000519","08409","북한산보국문역1번출구","191","109","20171118"
"20171115","162","162번(정릉~여의도)","107000074","08164","정릉4동주민센터.경국사","14","120","20171118"
"20171115","162","162번(정릉~여의도)","107000072","08162","정릉대우아파트","3","467","20171118"
"20171115","162","162번(정릉~여의도)","107000246","08344","대진여객차고지","0","247","20171118"
"20171115","162","162번(정릉~여의도)","990074870","~","대진여객차고지(가상)","324","2","20171118"
"20171115","162","162번(정릉~여의도)","107000071","08161","정릉산장아파트","559","4","20171118"
"20171115","162","162번(정릉~여의도)","107000073","08163","정릉4동주민센터.경국사","178","42","20171118"
"20171115","162","162번(정릉~여의도)","107000518","08408","북한산보국문역2번출구","132","128","20171118"
"20171115","162","162번(정릉~여의도)","107000075","08165","KEB하나은행정릉중앙지점","302","51","20171118"
"20171115","162","162번(정릉~여의도)","107000077","08167","정릉시장입구","511","95","20171118"
"20171115","162","162번(정릉~여의도)","107000079","08169","정릉우체국앞","494","76","20171118"
"20171115","162","162번(정릉~여의도)","107000168","08263","정릉입구","319","91","20171118"
"20171115","162","162번(정릉~여의도)","107000170","08265","아리랑고개.아리랑시네미디어센터","786","140","20171118"
"20171115","162","162번(정릉~여의도)","107000172","08267","돈암2동주민센터입구.흥천사","466","229","20171118"
"20171115","162","162번(정릉~여의도)","107000174","08269","성신여대입구","532","859","20171118"
"20171115","162","162번(정릉~여의도)","107000009","08009","삼선교.한성대학교","369","534","20171118"
"20171115","162","162번(정릉~여의도)","100000005","01005","혜화동로터리","166","304","20171118"
"20171115","162","162번(정릉~여의도)","100000003","01003","명륜3가.성대입구","301","305","20171118"
"20171115","162","162번(정릉~여의도)","100000002","01002","창경궁.서울대학교병원","230","170","20171118"
"20171115","162","162번(정릉~여의도)","100000076","01172","창덕궁","329","376","20171118"
"20171115","162","162번(정릉~여의도)","100000369","01295","안국역.종로경찰서.인사동","303","355","20171118"
"20171115","162","162번(정릉~여의도)","100000107","01203","안국동","126","255","20171118"
"20171115","162","162번(정릉~여의도)","100000106","01202","조계사","391","336","20171118"
"20171115","162","162번(정릉~여의도)","101000141","02246","을지로입구역.광교","180","482","20171118"
"20171115","162","162번(정릉~여의도)","101000042","02141","해운센터.롯데영프라자","225","377","20171118"
"20171115","162","162번(정릉~여의도)","101000032","02127","북창동.남대문시장","242","271","20171118"
"20171115","162","162번(정릉~여의도)","101000008","02008","숭례문","114","238","20171118"
"20171115","162","162번(정릉~여의도)","101000004","02004","서울역버스환승센터","414","261","20171118"
"20171115","162","162번(정릉~여의도)","102000012","03012","갈월동","187","85","20171118"
"20171115","162","162번(정릉~여의도)","102000233","03327","갈월동4호선숙대입구","120","130","20171118"
"20171115","162","162번(정릉~여의도)","102000018","03110","남영역","487","250","20171118"
"20171115","162","162번(정릉~여의도)","102000045","03139","용산경찰서","130","219","20171118"
"20171115","162","162번(정릉~여의도)","102000047","03141","원효로우체국","170","223","20171118"
"20171115","162","162번(정릉~여의도)","102000050","03144","원효로2가","259","274","20171118"
"20171115","162","162번(정릉~여의도)","102000052","03146","원효로3가","308","255","20171118"
"20171115","162","162번(정릉~여의도)","118000061","19146","시범아파트.대교아파트","248","526","20171118"
"20171115","162","162번(정릉~여의도)","118000065","19150","KBS별관","216","365","20171118"
"20171115","162","162번(정릉~여의도)","118000068","19153","샛강역1번출구.여의도자이","86","396","20171118"
"20171115","162","162번(정릉~여의도)","118000071","19156","여의도역","201","596","20171118"
"20171115","162","162번(정릉~여의도)","118000047","19132","국회의사당역.국민은행","64","356","20171118"
"20171115","162","162번(정릉~여의도)","118000048","19133","국회의사당역","166","140","20171118"
"20171115","162","162번(정릉~여의도)","118000045","19130","KBS","93","86","20171118"
"20171115","162","162번(정릉~여의도)","118000076","19161","전경련회관","252","87","20171118"
"20171115","162","162번(정릉~여의도)","118000007","19007","여의도환승센터","234","143","20171118"
"20171115","162","162번(정릉~여의도)","118000198","19283","유진투자증권.파이낸셜뉴스신문","51","28","20171118"
"20171115","162","162번(정릉~여의도)","118000073","19158","한국거래소.구증권선물거래소","110","18","20171118"
"20171115","162","162번(정릉~여의도)","118000070","19155","여의도역","641","61","20171118"
